Symbol,Company,Sector,InstiBuyCr,InstiSellCr,NetCr,Buys,Sells,Institutions,ActiveDays,Status
GANGAFORGE,Ganga Forging Limited,,1.94,1.5,0.44,2,4,1,4,ACCUMULATING
ARVSMART,Arvind SmartSpaces Limited,,34.25,33.86,0.39,2,2,2,1,ACCUMULATING
ATALREAL,Atal Realtech Limited,,42.53,42.88,-0.35,14,14,4,6,DISTRIBUTING
SPRL,SP Refractories Limited,,0.33,0.0,0.33,1,0,1,1,ACCUMULATING
AUGMONT,Augmont Enterprises Ltd,,136.86,137.16,-0.3,2,2,2,1,DISTRIBUTING
AASTHA,Aastha Spintex Limited,,3.97,3.68,0.29,2,2,2,2,ACCUMULATING
OLAELEC,Ola Electric Mobility Limited,Automobile and Auto Components,108.98,109.25,-0.27,1,1,1,1,DISTRIBUTING
MVKAGRO,M.V.K. Agro Food Prod Ltd,,7.33,7.58,-0.25,1,1,1,1,DISTRIBUTING
MOREPENLAB,Morepen Laboratories Limited,,33.51,33.74,-0.23,1,1,1,1,DISTRIBUTING
PARSVNATH,Parsvnath Developers Limi,,0.8,0.58,0.22,1,1,2,1,ACCUMULATING
DWARKESH,Dwarikesh Sugar Industries Limited,,36.33,36.54,-0.21,5,5,3,3,DISTRIBUTING
DIFFNKG,Diffusion Engineers Limited,,54.77,54.96,-0.19,4,4,4,1,DISTRIBUTING
SHIVAUM,Shiv Aum Steels Limited,,5.79,5.61,0.18,1,1,2,1,ACCUMULATING
SHANTIGEAR,Shanthi Gears Limited,,87.6,87.43,0.17,3,3,3,1,ACCUMULATING
SHAH,Shah Metacorp Limited,,3.1,3.27,-0.17,1,1,1,1,DISTRIBUTING
BBTC,The Bombay Burmah Trading Corporation Limited,Fast Moving Consumer Goods,300.59,300.75,-0.16,3,3,3,1,DISTRIBUTING
BLEL,Behari Lal Engineering L,,43.36,43.51,-0.15,4,4,4,2,DISTRIBUTING
TNPETRO,Tamilnadu PetroProducts Limited,,33.78,33.92,-0.14,2,2,2,1,DISTRIBUTING
DJML,DJ Mediaprint & Logistics Limited,,5.64,5.51,0.13,2,2,2,2,ACCUMULATING
XTRANET,Xtranet Technologies Ltd,,12.17,12.29,-0.12,2,2,2,2,DISTRIBUTING
BIOPOL,Biopol Chemicals Limited,,0.46,0.34,0.12,1,1,1,1,ACCUMULATING
LALITHAA,Lalithaa Jewellery Mart L,,177.72,177.82,-0.1,1,1,1,1,DISTRIBUTING
MILKYMIST,Milky Mist Dairy Food L,,93.94,94.04,-0.1,1,1,1,1,DISTRIBUTING
SHIPROCKET,Shiprocket Limited,,49.5,49.57,-0.07,1,1,1,1,DISTRIBUTING
LTFOODS,LT Foods Limited,Fast Moving Consumer Goods,96.52,96.58,-0.06,1,1,1,1,DISTRIBUTING
KROSS,Kross Limited,,18.97,19.03,-0.06,2,2,2,1,DISTRIBUTING
ELECON,Elecon Engineering Company Limited,Capital Goods,58.05,58.1,-0.05,1,1,1,1,DISTRIBUTING
MASTEK,Mastek Limited,,48.59,48.64,-0.05,1,1,1,1,DISTRIBUTING
OMAXE,Omaxe Limited,,37.08,37.13,-0.05,2,2,2,1,DISTRIBUTING
LAMOSAIC,Lamosaic India Limited,,0.59,0.62,-0.03,1,2,2,2,DISTRIBUTING
DHTL,Docmode Health Tech Ltd,,0.03,0.06,-0.03,1,1,1,1,DISTRIBUTING
BOROLTD,Borosil Limited,,51.81,51.83,-0.02,2,2,2,1,DISTRIBUTING
TECHNOCRAF,Technocraft Ventures Ltd,,32.06,32.04,0.02,3,3,3,2,ACCUMULATING
EKC,Everest Kanto Cylinder Limited,,15.9,15.92,-0.02,1,1,1,1,DISTRIBUTING
DHAMPURSUG,Dhampur Sugar Mills Limited,,6.28,6.26,0.02,1,1,1,1,ACCUMULATING
NARMADA,Narmada Agrobase Limited,,0.76,0.74,0.02,1,1,1,1,ACCUMULATING
MANYAVAR,Vedant Fashions Limited,,194.79,194.8,-0.01,1,1,1,1,DISTRIBUTING
KELLTONTEC,Kellton Tech Solutions Limited,,4.4,4.41,-0.01,1,1,1,1,DISTRIBUTING
AUSTENG,Austin Engineering Co. L,,0.4,0.41,-0.01,1,1,1,1,DISTRIBUTING
ARIHANTCAP,Arihant Capital Markets Limited,,6.46,6.46,0.0,1,1,1,1,FLAT
